"No.","Time","Source IP","Destination IP","Source Port","Destination Port","Protocol","ICMP type","Length","Flags"
"87","11.288088000","170.72.239.210","192.168.1.5","443","53518","TCP","","54","0x0010"
"88","11.288239000","192.168.1.5","170.72.239.210","53518","443","TLSv1.2","","89","0x0018"
"89","11.392489000","192.168.1.5","208.115.231.94","53461","443","TCP","","55","0x0010"
"90","11.446193000","208.115.231.94","192.168.1.5","443","53461","TCP","","54","0x0010"
"91","11.446306000","192.168.1.5","208.115.231.94","53461","443","TCP","","54","0x0010"
"92","11.554816000","208.115.231.94","192.168.1.5","443","53461","TCP","","66","0x0010"
"93","11.557666000","170.72.239.210","192.168.1.5","443","53518","TCP","","54","0x0010"
"94","12.210093000","","","53464","443","TLSv1.2","","102","0x0018"
"95","12.217334000","","","443","53464","TCP","","74","0x0010"
"96","14.169926000","","","53508","443","TLSv1.2","","102","0x0018"
"97","14.179994000","","","443","53508","TCP","","74","0x0010"
"98","15.356185000","","","","","ARP","","60",""
"99","15.356238000","","","","","ARP","","42",""
"100","15.364399000","","","","","ICMPv6","","86",""
"101","15.364525000","","","","","ICMPv6","","86",""
"102","15.367352000","","","","","ICMPv6","","86",""
"103","15.367425000","","","","","ICMPv6","","86",""
"104","15.373666000","","","","","ICMPv6","","86",""
"105","15.373775000","","","","","ICMPv6","","86",""
"106","16.156873000","","","443","53508","TLSv1.2","","101","0x0018"
"107","16.203498000","","","53508","443","TCP","","74","0x0010"
"108","18.711213000","192.168.1.5","210.148.85.30","53939","80","TCP","","54","0x0011"
"109","18.714955000","210.148.85.30","192.168.1.5","80","53939","TCP","","54","0x0011"
"110","18.715099000","192.168.1.5","210.148.85.30","53939","80","TCP","","54","0x0010"
"111","18.717211000","192.168.1.5","210.148.85.30","53946","80","TCP","","66","0x0002"
"112","18.831352000","170.72.239.205","192.168.1.5","443","53940","TCP","","54","0x0010"
"113","18.831448000","192.168.1.5","170.72.239.205","53940","443","TCP","","54","0x0010"
"114","18.842678000","210.148.85.30","192.168.1.5","80","53939","TCP","","54","0x0010"
"115","18.850698000","210.148.85.30","192.168.1.5","80","53946","TCP","","66","0x0012"
"116","18.850821000","192.168.1.5","210.148.85.30","53946","80","TCP","","54","0x0010"
"117","18.851157000","192.168.1.5","210.148.85.30","53946","80","HTTP","","204","0x0018"
"118","18.981466000","210.148.85.30","192.168.1.5","80","53946","TCP","","54","0x0010"
"119","18.994789000","210.148.85.30","192.168.1.5","80","53946","HTTP","","363","0x0018"
"120","19.044845000","192.168.1.5","210.148.85.30","53946","80","TCP","","54","0x0010"
"121","19.097018000","170.72.239.205","192.168.1.5","443","53940","TCP","","54","0x0010"
"122","20.463989000","","","","","ARP","","60",""
"123","20.464011000","","","","","ARP","","42",""
